price,miles
21469,10
5995,135000
15988,33170
7995,133021
16928,17615
20905,1515
14680,40440
22714,5
21233,8034
16000,12971
16990,36028
17491,38199
14990,64332
19423,4
3995,264538
5081,237944
3995,204809
2995,248999
2500,"231,476"
4000,"201,882"
2469,235733
2995,201587
2998,204787
3998,260895
3998,208038
12899,42739
11995,79410
7995,133021
16928,17615
20905,1515
12900,40687
13999,25717
10000,40155
8491,75229
9998,164150
8995,32298
3195,124765
3495,79286
2999,172897
11500,76937
14999,71952
15988,33170
14680,40440
16000,12971
14990,64332
10490,103272
12998,52827
8995,34298
8225,82851
10490,103271
8995,170000
13625,50096
20431,2
20905,1515
21233,8034
